aX,aY,aZ
-1.154,2.024,0.243
-1.006,2.277,0.251
-1.012,2.37,0.308
-0.799,2.492,0.359
-0.676,2.536,0.468
-0.425,2.625,0.515
-0.304,2.683,0.575
-0.069,2.788,0.583
0.039,2.857,0.552
0.236,2.877,0.523
0.324,2.905,0.471
0.472,2.91,0.445
0.545,2.885,0.396
0.676,2.848,0.377
0.859,2.746,0.364
0.842,2.67,0.488
0.945,2.627,0.42
0.98,2.586,0.467
1.012,2.486,0.486
1.012,2.437,0.524
0.881,2.34,0.548
0.972,2.291,0.568
0.901,2.137,0.592
0.871,2.131,0.642
0.843,2.1,0.648
0.746,2.035,0.672
0.696,1.914,0.682
0.61,1.858,0.692
0.534,1.776,0.692
0.495,1.744,0.681
0.418,1.677,0.668
0.384,1.645,0.648
0.323,1.591,0.639
0.299,1.568,0.617
0.256,1.522,0.606
0.238,1.498,0.581
0.217,1.452,0.571
0.208,1.407,0.556
0.192,1.381,0.543
0.185,1.349,0.512
0.177,1.285,0.505
0.173,1.133,0.505
0.161,1.214,0.5
0.154,1.195,0.5
0.142,1.154,0.496
0.135,1.004,0.482
0.121,1.077,0.479
0.111,1.043,0.48
0.09,1.025,0.479
0.081,0.994,0.476
0.059,0.978,0.486
0.047,0.946,0.506
0.023,0.954,0.527
0.014,0.9,0.522
-0.004,0.852,0.567
-0.012,0.861,0.604
-0.02,0.862,0.605
-0.042,0.864,0.609
-0.049,0.851,0.651
-0.049,0.854,0.652
-0.041,0.78,0.679
-0.032,0.731,0.706
-0.021,0.761,0.72
0.001,0.761,0.714
0.071,-1.441,0.525
0.054,-1.566,0.542
0.036,-1.68,0.529
0.024,-1.722,0.543
0.012,-1.882,0.627
-0.015,-1.966,0.667
-0.049,-2.102,0.759
-0.067,-2.155,0.841
-0.132,-2.22,0.891
-0.17,-2.279,1.007
-0.24,-2.305,1.044
-0.293,-2.318,1.102
-0.46,-2.231,1.289
-0.432,-2.199,1.392
-0.486,-2.067,1.486
-0.531,-2.003,1.507
-0.572,-1.911,1.516
-0.529,-1.876,1.499
-0.44,-1.837,1.492
-0.395,-1.747,1.523
-0.334,-1.673,1.428
-0.189,-1.766,1.561
-0.218,-1.614,1.239
-0.2,-1.399,1.167
-0.157,-1.296,0.895
-0.209,-1.289,0.946
0.001,-1.359,1.072
0.033,-1.169,0.948
0.058,-1.141,0.839
0.081,-1.047,0.741
0.128,-1.004,0.732
0.149,-0.936,0.726
0.195,-0.902,0.718
0.209,-0.825,0.69
0.238,-0.789,0.686
0.263,-0.71,0.695
0.28,-0.672,0.722
0.306,-0.598,0.733
0.313,-0.522,0.731
0.32,-0.491,0.727
0.331,-0.44,0.715
0.338,-0.385,0.711
0.335,-0.358,0.704
0.33,-0.299,0.696
0.322,-0.27,0.696
0.316,-0.208,0.702
0.312,-0.175,0.709
0.297,-0.118,0.701
0.291,-0.09,0.692
0.249,-0.046,0.684
0.214,0.113,0.612
0.17,0.062,0.61
0.136,0.114,0.501
0.102,0.151,0.498
0.062,0.358,0.474
-0.046,0.314,0.404
-0.097,0.311,0.301
-0.154,0.309,0.271
-0.166,0.364,0.253
-0.203,0.419,0.248
-0.249,0.532,0.244
-0.283,0.591,0.229
-0.333,0.687,0.221
-0.343,0.852,0.238
-0.341,0.803,0.269
-0.339,0.886,0.326
-0.33,0.933,0.362
-0.331,1.05,0.417
-0.346,1.13,0.467
-0.359,1.281,0.49
-0.351,1.352,0.524
-0.325,1.498,0.529
-0.309,1.575,0.534
-0.285,1.757,0.529
-0.276,1.979,0.498
-0.244,2.048,0.474
-0.228,2.228,0.406
-0.188,2.299,0.366
-0.152,2.401,0.317
-0.053,2.434,0.304
0.017,2.478,0.267
0.184,2.485,0.247
0.277,2.476,0.208
0.457,2.46,0.177
0.619,2.414,0.169
0.689,2.389,0.163
0.822,2.334,0.173
0.884,2.297,0.201
0.982,2.23,0.229
1.017,2.208,0.285
1.082,2.172,0.313
1.102,2.131,0.372
1.125,2.107,0.405
1.137,2.065,0.449
1.151,2.041,0.469
1.151,1.981,0.518
1.122,1.955,0.541
1.1,1.921,0.575
1.064,1.888,0.575
1.036,1.768,0.562
0.954,1.742,0.575
0.952,1.781,0.493
0.922,1.615,0.572
0.851,1.484,0.564
0.858,1.469,0.553
0.801,1.406,0.527
0.766,1.369,0.498
0.742,1.264,0.479
0.735,1.224,0.464
0.7,1.164,0.464
0.673,1.151,0.457
0.633,1.129,0.462
0.625,1.114,0.476
0.612,1.085,0.473
0.614,1.077,0.488
0.61,1.071,0.501
0.601,1.074,0.517
0.574,1.08,0.53
0.561,1.078,0.549
0.531,1.077,0.573
0.522,1.071,0.586
0.501,1.059,0.594
0.495,1.055,0.61
0.488,1.045,0.617
0.483,1.028,0.627
0.468,1.004,0.629
0.467,0.996,0.627
0.466,0.981,0.627
0.464,0.973,0.627
0.468,0.978,0.624
0.468,0.962,0.622
0.485,0.939,0.641
0.493,0.935,0.644
0.507,0.915,0.661
0.5,0.915,0.637
0.505,0.871,0.619
0.513,0.875,0.677
0.519,0.924,0.696
0.508,0.932,0.689
0.494,0.897,0.695
0.487,0.846,0.723
0.489,0.843,0.734
0.491,0.854,0.752
0.48,0.859,0.763
0.47,0.86,0.779
0.457,0.854,0.782
0.449,0.84,0.787
0.443,0.83,0.789
0.44,0.819,0.787
0.443,0.81,0.783
0.443,0.798,0.773
0.447,0.793,0.771
0.45,0.77,0.774
0.454,0.757,0.778
0.454,0.731,0.777
0.447,0.715,0.779
0.434,0.691,0.776
0.424,0.684,0.768
0.401,0.671,0.758
0.389,0.665,0.741
0.374,0.64,0.737
0.367,0.622,0.734
0.352,0.583,0.734
0.343,0.55,0.738
0.321,0.543,0.736
0.309,0.525,0.715
0.285,0.515,0.705
0.277,0.499,0.684
0.266,0.491,0.674
0.259,0.473,0.643
0.236,0.464,0.624
0.224,0.448,0.579
0.205,0.444,0.559
0.199,0.426,0.528
0.189,0.412,0.527
0.185,0.38,0.549
0.188,0.363,0.571
0.191,0.319,0.62
0.194,0.298,0.639
0.184,0.259,0.665
0.178,0.24,0.662
0.174,0.196,0.655
0.172,0.172,0.637
0.179,0.121,0.624
0.178,0.096,0.587
0.178,0.04,0.564
0.181,0.011,0.514
0.192,-0.052,0.49
0.202,-0.118,0.444
0.228,-0.153,0.429
0.243,-0.212,0.402
0.281,-0.24,0.392
0.302,-0.298,0.373
0.348,-0.326,0.384
0.404,-0.396,0.399
0.428,-0.439,0.445
0.449,-0.512,0.469
0.45,-0.542,0.519
0.435,-0.609,0.542
0.421,-0.683,0.586
0.381,-0.723,0.607
0.355,-0.813,0.638
0.303,-0.858,0.656
0.256,-0.954,0.689
0.231,-1,0.696
0.188,-1.092,0.705
0.207,-1.157,0.689
0.153,-1.257,0.68
0.127,-1.291,0.693
0.084,-1.372,0.682
0.071,-1.461,0.666
0.052,-1.504,0.651
0.05,-1.631,0.601
0.044,-1.68,0.565
0.034,-1.747,0.561
0.032,-1.797,0.556
0.032,-1.869,0.547
0.033,-1.899,0.573
0.014,-1.956,0.578
0.03,-1.984,0.555
0.073,-2.017,0.569
0.088,-2.054,0.598
0.113,-2.063,0.605
0.243,-2.07,0.643
0.146,-2.068,0.685
0.168,-2.052,0.704
0.183,-2.034,0.741
0.213,-1.991,0.757
0.228,-1.963,0.772
0.267,-1.909,0.771
0.281,-1.834,0.784
0.311,-1.79,0.791
0.34,-1.703,0.791
0.354,-1.662,0.798
0.375,-1.572,0.798
0.386,-1.484,0.794
0.404,-1.438,0.791
0.411,-1.342,0.784
0.437,-1.248,0.771
0.443,-1.154,0.768
0.455,-1.107,0.768
0.464,-1.018,0.772
0.467,-0.978,0.777
0.469,-0.892,0.78
0.468,-0.846,0.778
0.466,-0.756,0.778
0.468,-0.712,0.777
0.468,-0.629,0.777
0.467,-0.556,0.779
0.465,-0.52,0.779
0.468,-0.46,0.782
0.46,-0.397,0.789
0.476,-0.376,0.82
0.434,-0.319,0.814
0.44,-0.265,0.798
0.379,-0.203,0.696
0.439,-0.228,0.811
0.334,0.009,0.717
0.168,-0.111,0.578
0.201,-0.141,0.707
0.254,-0.056,0.771
0.229,0.078,0.714
0.128,0.111,0.66
0.086,0.143,0.63
0.045,0.164,0.663
0.037,0.224,0.666
-0.01,0.267,0.641
-0.057,0.362,0.619
-0.072,0.412,0.586
-0.117,0.532,0.552
-0.142,0.685,0.503
-0.233,0.758,0.459
-0.273,0.915,0.365
-0.346,0.984,0.274
-0.399,1.134,0.235
-0.407,1.215,0.166
-0.409,1.411,0.14
-0.403,1.512,0.115
-0.334,1.673,0.117
-0.26,1.788,0.151
-0.005,1.854,0.219
0.121,1.925,0.244
0.198,1.997,0.242
0.285,2.045,0.271
0.369,2.113,0.322
0.425,2.218,0.397
0.562,2.255,0.442
0.631,2.32,0.507
0.784,2.351,0.537
0.87,2.381,0.627
1.051,2.393,0.673
1.137,2.414,0.756
1.319,2.415,0.8
1.398,2.417,0.889
1.535,2.399,0.87
1.596,2.316,0.889
1.731,2.258,0.924
1.776,2.184,0.957
1.84,2.161,0.975
1.865,2.039,0.95
1.856,1.947,0.939
1.845,2.024,0.861
1.818,1.824,0.962
1.771,1.654,0.854
1.676,1.641,0.821
1.621,1.563,0.782
1.457,1.5,0.759
1.383,1.412,0.715
1.24,1.35,0.711
1.159,1.223,0.715
1.028,1.182,0.715
0.979,1.107,0.722
0.896,1.082,0.728
0.861,1.055,0.731
0.803,1.04,0.724
0.781,1.032,0.713
0.755,1.022,0.706
0.736,0.971,0.711
0.726,0.96,0.707
0.697,0.937,0.703
0.68,0.922,0.686
0.646,0.913,0.673
0.635,0.902,0.656
0.623,0.883,0.653
0.623,0.877,0.658
0.625,0.855,0.663
0.618,0.846,0.682
0.605,0.822,0.69
0.595,0.811,0.698
0.564,0.796,0.698
0.548,0.787,0.698
0.53,0.777,0.714
0.517,0.731,0.726
0.487,0.8,0.73
0.486,0.806,0.732
0.47,0.704,0.762
0.466,0.678,0.819
0.476,0.67,0.838
0.477,0.656,0.854
0.459,0.68,0.846
0.453,0.656,0.858
0.439,0.635,0.88
0.439,0.649,0.915
0.444,0.638,0.909
0.45,0.606,0.922
0.472,0.559,0.939
0.482,0.536,0.981
0.504,0.489,0.994
0.51,0.473,1.009
0.528,0.43,1.016
0.54,0.406,1.031
0.571,0.376,1.035
0.587,0.371,1.025
0.598,0.356,1.015
0.598,0.347,0.984
0.591,0.346,0.965
0.585,0.334,0.913
-0.727,-1.211,-0.172
-0.813,-1.311,-0.295
-0.894,-1.398,-0.397
-1.035,-1.464,-0.511
-1.108,-1.56,-0.687
-1.139,-1.644,-0.731
-1.142,-1.683,-0.804
-1.103,-1.769,-0.834
-1.099,-1.81,-0.893
-1.035,-1.81,-0.89
-0.956,-1.788,-0.891
-0.909,-1.773,-0.885
-0.8,-1.728,-0.859
-0.742,-1.642,-0.804
-0.636,-1.585,-0.726
-0.535,-1.462,-0.677
-0.477,-1.416,-0.6
-0.367,-1.327,-0.56
-0.314,-1.238,-0.474
-0.228,-1.196,-0.386
-0.159,-1.12,-0.348
-0.126,-1.061,-0.276
-0.061,-1.034,-0.233
-0.011,-0.98,-0.159
0.01,-0.935,-0.09
0.046,-0.913,-0.056
0.072,-0.875,0
0.086,-0.87,0.02
0.12,-0.845,0.041
0.143,-0.832,0.08
0.127,-0.802,0.068
0.152,-0.807,0.124
0.183,-0.746,0.144
0.175,-0.69,0.129
0.144,-0.685,0.079
0.165,-0.703,0.162
0.158,-0.671,0.178
0.114,-0.562,0.144
0.101,-0.556,0.111
0.101,-0.585,0.138
0.085,-0.523,0.15
0.073,-0.503,0.146
0.072,-0.466,0.146
0.069,-0.429,0.152
0.066,-0.316,0.155
0.065,-0.245,0.177
0.088,-0.123,0.198
0.1,-0.062,0.271
0.161,0.012,0.309
0.161,0.227,0.331
0.241,0.215,0.376
0.281,0.339,0.457
0.32,0.429,0.471
0.343,0.596,0.489
0.388,0.667,0.509
0.414,0.751,0.578
0.464,0.781,0.614
0.493,0.822,0.665
0.537,0.85,0.677
0.556,0.916,0.667
0.594,0.952,0.65
0.619,1.03,0.605
0.664,1.068,0.581
0.694,1.13,0.531
0.743,1.169,0.501
0.755,1.261,0.428
0.754,1.327,0.385
0.752,1.457,0.302
0.756,1.541,0.265
0.769,1.645,0.266
0.83,1.679,0.319
0.911,1.742,0.362
0.953,1.773,0.456
1.028,1.843,0.508
1.058,1.881,0.633
1.111,1.944,0.691
1.129,1.965,0.806
1.167,2.001,0.856
1.189,2.017,0.923
1.241,2.021,0.953
1.265,2.022,0.985
1.305,2.025,0.999
1.318,2.022,1
1.335,2.018,0.993
1.338,2.005,0.972
1.336,1.992,0.962
1.329,1.959,0.941
1.31,1.939,0.931
1.298,1.885,0.912
1.272,1.857,0.898
1.253,1.826,0.859
1.209,1.763,0.842
1.181,1.7,0.805
1.125,1.665,0.791
1.096,1.587,0.772
1.03,1.546,0.768
0.993,1.461,0.77
0.916,1.413,0.78
0.872,1.371,0.801
0.778,1.304,0.811
0.728,1.257,0.827
0.633,1.238,0.834
0.592,1.206,0.845
0.528,1.191,0.844
0.482,1.163,0.84
0.464,1.148,0.823
0.441,1.134,0.813
0.431,1.126,0.785
0.415,1.104,0.772
0.408,1.088,0.741
0.393,1.075,0.727
0.392,1.052,0.707
0.4,1.038,0.704
0.405,1.029,0.706
0.42,1.007,0.707
0.427,0.988,0.723
0.437,0.962,0.728
0.441,0.952,0.731
0.447,0.946,0.732
0.459,0.922,0.738
0.467,0.898,0.742
0.482,0.879,0.736
0.493,0.854,0.735
0.499,0.844,0.738
0.51,0.817,0.738
0.514,0.804,0.741
0.523,0.782,0.743
0.528,0.773,0.74
0.534,0.761,0.737
0.537,0.756,0.74
0.546,0.735,0.747
0.556,0.719,0.769
0.569,0.691,0.78
0.569,0.681,0.796
0.565,0.663,0.801
0.559,0.658,0.808
0.556,0.646,0.811
0.556,0.635,0.818
0.567,0.598,0.823
0.576,0.573,0.836
0.59,0.531,0.84
0.597,0.519,0.849
0.617,0.509,0.851
0.627,0.504,0.853
0.644,0.477,0.85
0.651,0.442,0.844
0.651,0.426,0.839
0.646,0.406,0.818
0.65,0.394,0.792
0.662,0.391,0.772
0.688,0.387,0.752
0.711,0.355,0.743
0.723,0.293,0.705
0.727,0.279,0.673
0.72,0.275,0.655
0.717,0.271,0.63
0.72,0.245,0.624
0.726,0.219,0.623
0.74,0.156,0.625
0.742,0.127,0.619
0.736,0.085,0.611
0.722,0.084,0.584
0.679,0.107,0.569
0.66,0.116,0.549
0.646,0.089,0.551
0.647,0.037,0.564
0.645,0.016,0.568
0.636,-0.019,0.56
0.61,-0.033,0.553
0.57,-0.049,0.536
0.528,-0.067,0.524
0.512,-0.1,0.491
0.486,-0.114,0.478
0.471,-0.154,0.455
0.447,-0.176,0.443
0.434,-0.22,0.417
0.407,-0.238,0.402
0.392,-0.269,0.369
0.366,-0.287,0.34
0.335,-0.34,0.333
0.323,-0.366,0.331
0.295,-0.413,0.332
0.283,-0.437,0.341
0.255,-0.485,0.346
0.241,-0.525,0.36
0.21,-0.545,0.366
0.195,-0.602,0.366
0.176,-0.63,0.347
0.149,-0.666,0.346
0.146,-0.702,0.364
0.163,-0.776,0.368
0.169,-0.813,0.36
0.161,-0.876,0.35
0.15,-0.911,0.329
0.125,-0.981,0.318
0.117,-1.043,0.302
0.102,-1.073,0.299
0.095,-1.136,0.3
0.087,-1.166,0.304
0.083,-1.223,0.314
0.077,-1.254,0.32
0.071,-1.316,0.337
0.057,-1.342,0.364
0.045,-1.391,0.378
0.043,-1.42,0.411
0.039,-1.47,0.426
0.034,-1.492,0.458
0.019,-1.541,0.472
0.015,-1.569,0.501
0.003,-1.628,0.518
-0.002,-1.68,0.554
-0.016,-1.7,0.567
-0.028,-1.732,0.588
-0.052,-1.743,0.61
-0.081,-1.757,0.62
-0.095,-1.756,0.652
-0.124,-1.745,0.665
-0.141,-1.725,0.696
-0.162,-1.714,0.711
-0.173,-1.69,0.739
-0.172,-1.677,0.768
-0.169,-1.654,0.777
-0.163,-1.617,0.784
-0.155,-1.597,0.779
-0.14,-1.553,0.773
-0.131,-1.529,0.76
-0.111,-1.474,0.754
-0.089,-1.426,0.745
-0.054,-1.403,0.742
-0.011,-1.349,0.722
0.013,-1.319,0.709
0.044,-1.262,0.687
0.061,-1.233,0.666
0.101,-1.176,0.656
0.119,-1.016,0.636
0.156,-1.076,0.63
0.176,-1.024,0.614
0.219,-0.995,0.607
0.146,1.858,0.096
0.154,1.947,0.078
0.173,2.115,0.08
0.222,2.354,0.078
0.329,2.493,0.073
0.38,2.548,0.08
0.51,2.62,0.096
0.587,2.632,0.162
0.742,2.622,0.205
0.816,2.604,0.305
0.955,2.546,0.359
1.02,2.51,0.472
1.142,2.427,0.52
1.195,2.385,0.607
1.274,2.295,0.645
1.299,2.25,0.698
1.321,2.159,0.721
1.321,2.072,0.764
1.282,2.046,0.787
1.259,1.946,0.768
1.164,1.875,0.768
1.104,1.871,0.794
1.026,1.829,0.744
0.952,1.537,0.817
0.897,1.488,0.857
0.837,1.456,0.848
0.792,1.407,0.87
0.667,1.322,0.869
0.617,1.266,0.89
0.531,1.162,0.903
0.508,1.113,0.921
0.47,1.023,0.946
0.447,0.996,0.961
0.401,0.938,0.95
0.386,0.902,0.945
0.367,0.843,0.948
0.36,0.815,0.926
0.346,0.767,0.908
0.339,0.745,0.877
0.326,0.698,0.864
0.323,0.676,0.834
0.318,0.629,0.82
0.313,0.608,0.795
0.306,0.576,0.78
0.307,0.553,0.756
0.31,0.518,0.752
0.309,0.502,0.741
0.316,0.481,0.733
0.323,0.47,0.725
0.336,0.437,0.727
0.345,0.412,0.725
0.357,0.402,0.727
0.365,0.391,0.723
0.377,0.386,0.721
0.384,0.384,0.717
0.406,0.38,0.715
0.433,0.374,0.715
0.443,0.369,0.713
0.462,0.364,0.712
0.469,0.359,0.709
0.487,0.349,0.705
0.499,0.351,0.708
0.513,0.352,0.708
0.514,0.362,0.691
0.51,0.386,0.68
0.509,0.397,0.657
0.514,0.421,0.649
0.52,0.431,0.636
0.531,0.446,0.629
0.535,0.451,0.617
0.544,0.463,0.613
0.549,0.47,0.601
0.554,0.489,0.594
0.555,0.498,0.576
0.559,0.519,0.568
0.56,0.534,0.552
0.564,0.539,0.542
0.566,0.545,0.519
0.565,0.546,0.504
0.562,0.544,0.474
0.562,0.54,0.451
0.563,0.538,0.436
0.563,0.534,0.402
0.561,0.537,0.388
0.561,0.536,0.36
0.561,0.536,0.346
0.56,0.545,0.326
0.564,0.551,0.317
0.566,0.546,0.304
0.576,0.543,0.305
0.577,0.549,0.311
0.581,0.555,0.319
0.582,0.556,0.339
0.577,0.561,0.481
0.575,0.56,0.393
0.575,0.56,0.412
0.568,0.551,0.443
0.556,0.549,0.463
0.548,0.556,0.471
0.541,0.567,0.485
0.534,0.573,0.488
0.528,0.572,0.497
0.521,0.576,0.501
0.523,0.571,0.513
0.525,0.559,0.518
0.524,0.551,0.529
0.517,0.531,0.535
0.511,0.522,0.545
0.5,0.511,0.547
0.489,0.508,0.527
0.474,0.488,0.505
0.471,0.477,0.492
0.472,0.473,0.5
0.469,0.475,0.5
0.456,0.464,0.477
0.449,0.42,0.413
0.448,0.41,0.418
0.445,0.422,0.457
0.427,0.43,0.485
1.244,-0.104,1.054
1.083,-0.012,0.812
1.218,-0.039,0.745
1.299,-0.026,0.874
1.475,-0.036,0.903
1.513,-0.056,0.976
1.475,-0.076,0.981
1.362,-0.111,0.952
1.314,-0.101,0.874
1.213,-0.063,0.852
1.165,-0.029,0.824
1.031,-0.026,0.776
0.881,-0.043,0.681
0.824,-0.077,0.622
0.724,-0.112,0.587
0.688,-0.144,0.534
0.648,-0.228,0.493
0.642,-0.274,0.426
0.632,-0.261,0.405
0.627,-0.214,0.422
0.599,-0.209,0.405
0.585,-0.208,0.366
0.562,-0.212,0.349
0.558,-0.225,0.353
0.561,-0.238,0.358
0.569,-0.237,0.356
0.582,-0.232,0.354
0.619,-0.223,0.379
0.674,-0.197,0.408
0.704,-0.195,0.38
0.771,-0.206,0.331
0.811,-0.215,0.335
0.906,-0.208,0.367
0.944,-0.201,0.368
0.997,-0.183,0.357
1.013,-0.164,0.355
1.026,-0.15,0.492
1.028,-0.121,0.385
1.02,-0.103,0.358
0.993,-0.095,0.348
0.962,-0.081,0.373
0.949,-0.076,0.366
0.925,-0.077,0.362
0.917,-0.079,0.353
0.908,-0.078,0.353
0.902,-0.081,0.351
0.889,-0.083,0.35
0.881,-0.087,0.345
0.87,-0.087,0.338
0.87,-0.089,0.329
0.864,-0.089,0.331
0.86,-0.085,0.33
0.857,-0.084,0.331
0.855,-0.082,0.335
0.856,-0.08,0.339
0.865,-0.075,0.35
0.868,-0.074,0.364
0.875,-0.072,0.372
0.878,-0.073,0.386
0.88,-0.067,0.392
0.881,-0.067,0.406
0.882,-0.06,0.413
0.881,-0.049,0.433
0.877,-0.045,0.441
0.876,-0.04,0.46
0.874,-0.036,0.468
0.874,-0.028,0.485
0.87,-0.026,0.493
0.868,-0.023,0.507
0.864,-0.021,0.519
0.86,-0.019,0.525
0.858,-0.018,0.533
0.861,-0.023,0.53
0.864,-0.026,0.538
0.864,-0.025,0.542
0.862,-0.023,0.548
0.854,-0.021,0.553
0.846,-0.02,0.556
0.842,-0.017,0.562
0.834,-0.015,0.573
0.829,-0.013,0.583
0.823,-0.01,0.594
0.821,-0.009,0.595
0.816,-0.005,0.6
0.813,0.004,0.622
0.803,0.003,0.633
0.798,0.008,0.643
0.793,0.011,0.647
0.791,0.014,0.658
0.783,0.015,0.666
0.78,0.013,0.678
0.771,0.016,0.685
0.766,0.018,0.696
0.755,0.018,0.698
0.75,0.016,0.702
0.741,0.013,0.703
0.734,0.01,0.71
0.723,0.011,0.714
0.719,0.021,0.719
0.711,0.022,0.721
0.703,0.022,0.721
0.699,0.02,0.726
0.692,0.015,0.732
0.691,0.018,0.739
0.685,0.016,0.739
0.682,0.015,0.744
0.677,0.018,0.746
0.673,0.016,0.759
0.668,0.023,0.762
0.669,0.024,0.772
0.664,0.026,0.773
0.661,0.026,0.78
0.654,0.027,0.783
0.651,0.026,0.787
0.648,0.026,0.787
0.647,0.028,0.792
0.643,0.032,0.793
0.643,0.032,0.795
0.636,0.03,0.795
